iso,cpi,Year
ISL,9.7,2005
FIN,9.6,2005
NZL,9.6,2005
DNK,9.5,2005
SGP,9.4,2005
SWE,9.2,2005
CHE,9.1,2005
NOR,8.9,2005
AUS,8.8,2005
AUT,8.7,2005
NLD,8.6,2005
GBR,8.6,2005
LUX,8.5,2005
CAN,8.4,2005
HKG,8.3,2005
DEU,8.2,2005
USA,7.6,2005
FRA,7.5,2005
BEL,7.4,2005
IRL,7.4,2005
CHL,7.3,2005
JPN,7.3,2005
ESP,7.0,2005
BRB,6.9,2005
MLT,6.6,2005
PRT,6.5,2005
EST,6.4,2005
ISR,6.3,2005
OMN,6.3,2005
ARE,6.2,2005
SVN,6.1,2005
BWA,5.9,2005
QAT,5.9,2005
TWN,5.9,2005
URY,5.9,2005
BHR,5.8,2005
CYP,5.7,2005
JOR,5.7,2005
MYS,5.1,2005
HUN,5.0,2005
ITA,5.0,2005
KOR,5.0,2005
TUN,4.9,2005
LTU,4.8,2005
KWT,4.7,2005
ZAF,4.5,2005
CZE,4.3,2005
GRC,4.3,2005
NAM,4.3,2005
SVK,4.3,2005
CRI,4.2,2005
SLV,4.2,2005
LVA,4.2,2005
MUS,4.2,2005
BGR,4.0,2005
COL,4.0,2005
FJI,4.0,2005
SYC,4.0,2005
CUB,3.8,2005
THA,3.8,2005
TTO,3.8,2005
BLZ,3.7,2005
BRA,3.7,2005
JAM,3.6,2005
GHA,3.5,2005
MEX,3.5,2005
PAN,3.5,2005
PER,3.5,2005
TUR,3.5,2005
BFA,3.4,2005
HRV,3.4,2005
EGY,3.4,2005
LSO,3.4,2005
POL,3.4,2005
SAU,3.4,2005
SYR,3.4,2005
LAO,3.3,2005
CHN,3.2,2005
MAR,3.2,2005
SEN,3.2,2005
LKA,3.2,2005
SUR,3.2,2005
LBN,3.1,2005
RWA,3.1,2005
DOM,3.0,2005
MNG,3.0,2005
ROU,3.0,2005
ARM,2.9,2005
BEN,2.9,2005
BIH,2.9,2005
GAB,2.9,2005
IND,2.9,2005
IRN,2.9,2005
MLI,2.9,2005
MDA,2.9,2005
TZA,2.9,2005
DZA,2.8,2005
ARG,2.8,2005
MDG,2.8,2005
MWI,2.8,2005
MOZ,2.8,2005
SRB,2.8,2005
GMB,2.7,2005
MKD,2.7,2005
SWZ,2.7,2005
YEM,2.7,2005
BLR,2.6,2005
ERI,2.6,2005
HND,2.6,2005
KAZ,2.6,2005
NIC,2.6,2005
PSE,2.6,2005
UKR,2.6,2005
VNM,2.6,2005
ZMB,2.6,2005
ZWE,2.6,2005
AFG,2.5,2005
BOL,2.5,2005
ECU,2.5,2005
GTM,2.5,2005
GUY,2.5,2005
LBY,2.5,2005
NPL,2.5,2005
PHL,2.5,2005
UGA,2.5,2005
ALB,2.4,2005
NER,2.4,2005
RUS,2.4,2005
SLE,2.4,2005
BDI,2.3,2005
KHM,2.3,2005
COG,2.3,2005
GEO,2.3,2005
KGZ,2.3,2005
PNG,2.3,2005
VEN,2.3,2005
AZE,2.2,2005
CMR,2.2,2005
ETH,2.2,2005
IDN,2.2,2005
IRQ,2.2,2005
LBR,2.2,2005
UZB,2.2,2005
COD,2.1,2005
KEN,2.1,2005
PAK,2.1,2005
PRY,2.1,2005
SOM,2.1,2005
SDN,2.1,2005
TJK,2.1,2005
AGO,2.0,2005
CIV,1.9,2005
GNQ,1.9,2005
NGA,1.9,2005
HTI,1.8,2005
MMR,1.8,2005
TKM,1.8,2005
BGD,1.7,2005
TCD,1.7,2005
DNK,9.3,2010
NZL,9.3,2010
SGP,9.3,2010
FIN,9.2,2010
SWE,9.2,2010
CAN,8.9,2010
NLD,8.8,2010
AUS,8.7,2010
CHE,8.7,2010
NOR,8.6,2010
ISL,8.5,2010
LUX,8.5,2010
HKG,8.4,2010
IRL,8.0,2010
AUT,7.9,2010
DEU,7.9,2010
BRB,7.8,2010
JPN,7.8,2010
QAT,7.7,2010
GBR,7.6,2010
CHL,7.2,2010
BEL,7.1,2010
USA,7.1,2010
URY,6.9,2010
FRA,6.8,2010
EST,6.5,2010
SVN,6.4,2010
CYP,6.3,2010
ARE,6.3,2010
ISR,6.1,2010
ESP,6.1,2010
PRT,6.0,2010
BWA,5.8,2010
PRI,5.8,2010
TWN,5.8,2010
BTN,5.7,2010
BRN,5.5,2010
MLT,5.6,2010
KOR,5.4,2010
MUS,5.4,2010
CRI,5.3,2010
OMN,5.3,2010
POL,5.3,2010
DMA,5.2,2010
CPV,5.1,2010
LTU,5.0,2010
MAC,5.0,2010
BHR,4.9,2010
SYC,4.8,2010
HUN,4.7,2010
JOR,4.7,2010
SAU,4.7,2010
CZE,4.6,2010
KWT,4.5,2010
ZAF,4.5,2010
MYS,4.4,2010
NAM,4.4,2010
TUR,4.4,2010
LVA,4.3,2010
SVK,4.3,2010
TUN,4.3,2010
MKD,4.1,2010
GHA,4.1,2010
WSM,4.1,2010
HRV,4.1,2010
RWA,4.0,2010
ITA,3.9,2010
BRA,3.7,2010
GEO,3.8,2010
CUB,3.7,2010
MNE,3.7,2010
ROU,3.7,2010
BGR,3.6,2010
SLV,3.6,2010
PAN,3.6,2010
TTO,3.6,2010
VUT,3.6,2010
CHN,3.5,2010
COL,3.5,2010
GRC,3.5,2010
LSO,3.5,2010
PER,3.5,2010
SRB,3.5,2010
THA,3.5,2010
MWI,3.4,2010
MAR,3.4,2010
ALB,3.3,2010
IND,3.3,2010
JAM,3.3,2010
LBR,3.3,2010
BIH,3.2,2010
DJI,3.2,2010
GMB,3.2,2010
GTM,3.2,2010
KIR,3.2,2010
LKA,3.2,2010
SWZ,3.2,2010
BFA,3.1,2010
EGY,3.1,2010
MEX,3.1,2010
DOM,3.0,2010
STP,3.0,2010
TON,3.0,2010
ZMB,3.0,2010
DZA,2.9,2010
ARG,2.9,2010
KAZ,2.9,2010
MDA,2.9,2010
SEN,2.9,2010
BEN,2.8,2010
BOL,2.8,2010
GAB,2.8,2010
IDN,2.8,2010
KSV,2.8,2010
SLB,2.8,2010
ETH,2.7,2010
GUY,2.7,2010
MLI,2.7,2010
MNG,2.7,2010
MOZ,2.7,2010
TZA,2.7,2010
VNM,2.7,2010
ARM,2.6,2010
ERI,2.6,2010
MDG,2.6,2010
NER,2.6,2010
BLR,2.5,2010
ECU,2.5,2010
LBN,2.5,2010
NIC,2.5,2010
SYR,2.5,2010
TLS,2.5,2010
UGA,2.5,2010
AZE,2.4,2010
BGD,2.4,2010
HND,2.4,2010
NGA,2.4,2010
PHL,2.4,2010
TGO,2.4,2010
UKR,2.4,2010
ZWE,2.4,2010
SLE,2.4,2010
MDV,2.3,2010
MRT,2.3,2010
PAK,2.3,2010
CMR,2.2,2010
CIV,2.2,2010
HTI,2.2,2010
IRN,2.2,2010
LBY,2.2,2010
NPL,2.2,2010
PRY,2.2,2010
YEM,2.2,2010
